[0707/150728.155:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6b84001c5a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0707/150728.210:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6b84001c9600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0707/150728.227:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6b84001c5a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0707/150850.337:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6e3400188a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0707/150850.379:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6e3400185a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0707/150850.394:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6e3400188a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0707/150850.402:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6e3400185a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0707/151016.271:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x70cc022c4c00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0707/151016.316:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x70cc0018b400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0707/151016.337:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x70cc022c4c00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
